Genus	Species
Amblyglyphidodon	curacao
Dascyllus	reticulatus
Pomacentrus	brachialis
Neoglyphidodon	nigroris
Ctenochaetus	striatus
Chromis	ternatensis
Pomacentrus	moluccensis
Pomacentrus	wardi
Amblyglyphidodon	leucogaster
Pterocaesio	tile
Chromis	viridis
Odonus	niger
Chromis	weberi
Chromis	analis
Pseudanthias	evansi
Pomacentrus	coelestis
Zebrasoma	scopas
Ctenochaetus	binotatus
Chromis	alpha
Chrysiptera	springeri
Acanthurus	thompsoni
Chrysiptera	glauca
Chromis	xanthura
Pterocaesio	trilineata
Thalassoma	lunare
Lutjanus	ehrenbergii
Dascyllus	trimaculatus
Scolopsis	lineatus
Chlorurus	sordidus
Pseudanthias	huchtii
Naso	caesius
Acanthurus	auranticavus
Naso	vlamingii
Thalassoma	hardwicke
Zanclus	cornutus
Hemitaurichthys	polylepis
Chromis	margaritifer
Pomacentrus	lepidogenys
Chromis	caudalis
Pomacentrus	amboinensis
Chlorurus	bleekeri
Pseudanthias	pleurotaenia
Balistapus	undulatus
Chaetodon	lunulatus
Melichthys	vidua
Thalassoma	amblycephalum
Acanthurus	pyroferus
Dascyllus	aruanus
Chaetodon	kleinii
Pseudanthias	dispar
Forcipiger	longirostris
Scolopsis	bilineata
Dascyllus	melanurus
Chromis	fumea
Neoglyphidodon	melas
Scarus	rivulatus
Pomacentrus	reidi
Labroides	dimidiatus
Scarus	flavipectoralis
Chrysiptera	rex
Parupeneus	multifasciatus
Mulloidichthys	flavolineatus
Acanthurus	nigrofuscus
Pterocaesio	pisang
Chrysiptera	parasema
Hemiglyphidodon	plagiometopon
Acanthurus	nigroris
Meiacanthus	vicinus
Centropyge	vroliki
Sufflamen	chrysopterus
Mulloidichthys	vanicolensis
Chromis	agilis
Siganus	doliatus
Macolor	macularis
Centropyge	bicolor
Scarus	dimidiatus
Scarus	psittacus
Chaetodon	melannotus
Chromis	amboinensis
Acanthurus	tristis
Abudefduf	vaigiensis
Pomacentrus	alexanderae
Scarus	niger
Chaetodon	baronessa
Parupeneus	barberinus
Amblyglyphidodon	aureus
Pygoplites	diacanthus
Caesio	teres
Pomacentrus	chrysurus
Scolopsis	ciliata
Dischistodus	melanotus
Lutjanus	decussatus
Chaetodon	vagabundus
Acanthurus	grammoptilus
Scarus	spinus
Cephalopholis	argus
Scarus	schlegeli
Diproctacanthus	xanthurus
Caesio	lunaris
Heniochus	varius
Scolopsis	affinis
Hemigymnus	melapterus
Abudefduf	sexfasciatus
Halichoeres	prosopeion
Chaetodon	ulietensis
Pomacentrus	littoralis
Caesio	cuning
Halichoeres	hortulanus
Chaetodon	lunula
Amphiprion	clarkii
Dischistodus	pseudochrysopoecilus
Pomacentrus	nigromanus
Forcipiger	flavissimus
Zebrasoma	veliferum
Acanthochromis	polycanthus
Cephalopholis	urodeta
Heniochus	chrysostomus
Scolopsis	temporalis
Epinephelus	merra
Chaetodon	rafflesi
Scarus	oviceps
Cheilinus	fasciatus
Siganus	vulpinus
Hemigymnus	fasciatus
Plectroglyphidodon	lacrymatus
Naso	lituratus
Pomacentrus	nigromarginatus
Siganus	puellus
Centropyge	tibicen
Chromis	lepidolepis
Sufflamen	bursa
Hipposcarus	longiceps
Chaetodon	unimaculatus
Platax	teira
Caesio	caerulaurea
Halichoeres	scapularis
Parupeneus	crassilabris
Scolopsis	margaritifera
Myripristis	violacea
Scarus	hypselopterus
Anampses	meleagrides
Scarus	russelii
Plectorhinchus	vittatus
Anampses	geographicus
Choerodon	anchorago
Naso	caeruleacauda
Chaetodon	ephippium
Sargocentron	caudimaculatum
Gomphosus	varius
Lethrinus	erythracanthus
Neopomacentrus	azysron
Scarus	ghobban
Neoniphon	sammara
Cirrhilabrus	solorensis
Scolopsis	trilineata
Epinephelus	fasciatus
Acanthurus	nigricaudus
Aspidontus	taeniatus
Caranx	melampygus
Chaetodon	speculum
Monotaxis	grandoculis
Pomacanthus	sexstriatus
Chromis	opercularis
Paracirrhites	forsteri
Epibulus	insidiator
Lutjanus	fulvus
Labracinus	cyclophthalmus
Acanthurus	nigricans
Chaetodon	lineolatus
Plectorhinchus	lineatus
Neopomacentrus	violascens
Plectroglyphidodon	johnstonianus
Pseudochromis	paccagnellae
Siganus	lineatus
Lethrinus	erythropterus
Lutjanus	biguttatus
Parupeneus	bifasciatus
Naso	unicornis
Chaetodon	punctatofasciatus
Myripristis	adusta
Anampses	caeruleopunctatus
Cheilio	inermis
Coris	batuensis
Coris	gaimard
Oxycheilinus	digrammus
Chromis	xanthochira
Neoglyphidodon	crossi
Pomacentrus	burroughi
Pomacentrus	philippinus
Grammatorcynus	bilineatus
Canthigaster	papua
Aulostomus	chinensis
Balistoides	viridescens
Chaetodon	meyeri
Heniochus	acuminatus
Fistularia	commersonii
Bodianus	mesothorax
Lethrinus	harak
Lutjanus	bohar
Siganus	punctatissimus
Chaetodon	auriga
Myripristis	kuntee
Cheilinus	chlorurus
Coris	aygula
Pomacanthus	imperator
Ctenochaetus	cyanocheilus
Heniochus	monoceros
Cheilinus	trilobatus
Halichoeres	nigrescens
Labroides	bicolor
Lethrinus	ornatus
Paraluteres	prionurus
Monotaxis	heterodon
Chromis	atripectoralis
Chromis	atripes
Chrysiptera	talboti
Chrysiptera	unimaculata
Dischistodus	perspicillatus
Cetoscarus	bicolor
Scarus	prasiognathos
Scarus	quoyi
Pseudanthias	hypselosoma
Arothron	nigropunctatus
Plagiotremus	laudandus
Lutjanus	semicinctus
Cantherhines	dumerili
Parupeneus	macronemus
Pomacentrus	bankanensis
Plectropomus	areolatus
Acanthurus	mata
Rhinecanthus	aculeatus
Chaetodon	ornatissimus
Heniochus	singularis
Laticauda	colubrina
Plectorhinchus	lessonii
Anampses	melanurus
Cheilinus	undulatus
Halichoeres	podostigma
Halichoeres	richmondi
Novaculichthys	taeniourus
Stethojulis	bandanensis
Thalassoma	lutescens
Gnathodentex	aurolineatus
Amanses	scopas
Cantherhines	pardalis
Centropyge	nox
Amblyglyphidodon	ternatensis
Chrysiptera	rollandi
Pomacentrus	smithi
Stegastes	nigricans
Nemateleotris	magnifica
Pterois	volitans
Chlorurus	strongycephalus
Epinephelus	tauvina
Halichoeres	biocellatus
Amphiprion	ocellaris
Chrysiptera	cyanea
Neoglyphidodon	oxyodon
Ptereleotris	evides
Bulbometopon	muricatum
Epinephelus	spilotoceps
Synodus	binotatus
Acanthurus	blochii
Acanthurus	japonicus
Acanthurus	triostegus
Acanthurus	xanthopterus
Rhinecanthus	verrucosus
Meiacanthus	atrodorsalis
Pterocaesio	diagramma
Pterocaesio	randalli
Chaetodon	bennetti
Chaetodon	citrinellus
Chaetodon	ocellicaudus
Chaetodon	semeion
Chaetodon	trifascialis
Taeniura	lymma
Platax	pinnatus
Valenciennea	strigata
Pentapodus	trivittatus
Myripristis	berndti
Myripristis	murdjan
Bodianus	axillaris
Halichoeres	chrysus
Halichoeres	leucurus
Halichoeres	melanochir
Halichoeres	solorensis
Hologymnosus	doliatus
Oxycheilinus	celebicus
Pseudodax	moluccanus
Stethojulis	strigiventer
Psammoperca	waigiensis
Lethrinus	microdon
Lethrinus	olivaceus
Lutjanus	monostigma
Pervagor	nigrolineatus
Parupeneus	ciliatus
Parupeneus	indicus
Ostracion	cubicus
Ostracion	meleagris
Plotosus	lineatus
Apolemichthys	trimaculatus
Centropyge	bispinosus
Chaetodontoplus	mesoleucus
Pomacanthus	navarchus
Chromis	lineata
Pomacentrus	adelus
Scarus	tricolor
Gymnosarda	unicolor
Cephalopholis	formosa
Epinephelus	bontoides
Epinephelus	chlorostigma
Epinephelus	rivulatus
Pseudanthias	squamipinnis
Variola	louti
Siganus	guttatus
Saurida	gracilis
Synodus	variegatus
Arothron	hispidus
Arothron	manilensis
Apogon	nigrofasciatus
Ctenochaetus	tominiensis
Balistoides	conspicillum
Chaetodon	falcula
Pseudocheilinus	hexataenia
Thalassoma	jansenii
