family	genus	species	CAAB
Pomacentridae/Damselfishes	Amblyglyphidodon	curacao/Staghorn damselfish	Fishbase:5477
Pomacentridae/Damselfishes	Dascyllus	reticulatus/Reticulate dascyllus	Fishbase:5113
Pomacentridae/Damselfishes	Pomacentrus	brachialis/Charcoal damsel	Fishbase:5718
Pomacentridae/Damselfishes	Neoglyphidodon	nigroris/Black-and-gold chromis	Fishbase:5708
Acanthuridae/Surgeonfishes, tangs, unicornfishes	Ctenochaetus	striatus/Striated surgeonfish	Fishbase:1262
Pomacentridae/Damselfishes	Chromis	ternatensis/Ternate chromis	Fishbase:5677
Pomacentridae/Damselfishes	Pomacentrus	moluccensis/Lemon damsel	Fishbase:5724
Pomacentridae/Damselfishes	Pomacentrus	wardi/Ward's damsel	Fishbase:10281
Pomacentridae/Damselfishes	Amblyglyphidodon	leucogaster/Yellowbelly damselfish	Fishbase:5691
Caesionidae/Fusiliers	Pterocaesio	tile/Dark-banded fusilier	Fishbase:939
Pomacentridae/Damselfishes	Chromis	viridis/Blue green damselfish	Fishbase:5679
Balistidae/Triggerfishes	Odonus	niger/Red-toothed triggerfish	Fishbase:1311
Pomacentridae/Damselfishes	Chromis	weberi/Weber's chromis	Fishbase:5680
Pomacentridae/Damselfishes	Chromis	analis/Yellow chromis	Fishbase:6551
Anthiadidae/Fairy basslets or Streamer basses	Mirolabrichthys	evansi/Yellowback anthias	Fishbase:7799
Pomacentridae/Damselfishes	Pomacentrus	coelestis/Neon damselfish	Fishbase:5720
Acanthuridae/Surgeonfishes, tangs, unicornfishes	Zebrasoma	scopas/Twotone tang	Fishbase:5951
Acanthuridae/Surgeonfishes, tangs, unicornfishes	Ctenochaetus	binotatus/Twospot surgeonfish	Fishbase:6012
Pomacentridae/Damselfishes	Chromis	alpha/Yellow-speckled chromis	Fishbase:5670
Pomacentridae/Damselfishes	Chrysiptera	springeri/Springer's demoiselle	Fishbase:12450
Acanthuridae/Surgeonfishes, tangs, unicornfishes	Acanthurus	thompsoni/Thompson's surgeonfish	Fishbase:4734
Pomacentridae/Damselfishes	Chrysiptera	glauca/Grey demoiselle	Fishbase:5696
Pomacentridae/Damselfishes	Chromis	xanthura/Paletail chromis	Fishbase:5682
Caesionidae/Fusiliers	Pterocaesio	trilineata/Three-stripe fusilier	Fishbase:1886
Labridae/Wrasses	Thalassoma	lunare/Moon wrasse	Fishbase:5645
Lutjanidae/Snappers	Lutjanus	ehrenbergii/Blackspot snapper	Fishbase:793
Pomacentridae/Damselfishes	Dascyllus	trimaculatus/Threespot dascyllus	Fishbase:5112
Nemipteridae/Threadfin breams, Whiptail breams	Scolopsis	lineata/Striped monocle bream	Fishbase:5877
Labridae/Wrasses	Chlorurus	sordidus/Daisy parrotfish	Fishbase:5556
Anthiadidae/Fairy basslets or Streamer basses	Pseudanthias	huchtii/Red-cheeked fairy basslet	Fishbase:6567
Acanthuridae/Surgeonfishes, tangs, unicornfishes	Naso	caesius/Gray unicornfish	Fishbase:15628
Acanthuridae/Surgeonfishes, tangs, unicornfishes	Acanthurus	auranticavus/Orange-socket surgeonfish	Fishbase:4748
Acanthuridae/Surgeonfishes, tangs, unicornfishes	Naso	vlamingii/Bignose unicornfish	Fishbase:6024
Labridae/Wrasses	Thalassoma	hardwicke/Sixbar wrasse	Fishbase:5643
Zanclidae/Moorish idol	Zanclus	cornutus/Moorish idol	Fishbase:5950
Chaetodontidae/Butterflyfishes	Hemitaurichthys	polylepis/Pyramid butterflyfish	Fishbase:5586
Pomacentridae/Damselfishes	Pycnochromis	margaritifer/Bicolor chromis	Fishbase:5675
Pomacentridae/Damselfishes	Pomacentrus	lepidogenys/Scaly damsel	Fishbase:6620
Pomacentridae/Damselfishes	Pycnochromis	caudalis/Blue-axil chromis	Fishbase:5672
Pomacentridae/Damselfishes	Pomacentrus	amboinensis/Ambon damsel	Fishbase:5715
Labridae/Wrasses	Chlorurus	bleekeri/Bleeker's parrotfish	Fishbase:4976
Anthiadidae/Fairy basslets or Streamer basses	Pseudanthias	pleurotaenia/Square-spot fairy basslet	Fishbase:6569
