family	genus	species	CAAB
Pomacanthidae/Angelfishes	Holacanthus	ciliaris/Queen angelfish	Fishbase:3609
Pomacanthidae/Angelfishes	Holacanthus	tricolor/Rock beauty	Fishbase:3610
Pomacanthidae/Angelfishes	Pomacanthus	arcuatus/Grey angelfish	Fishbase:1117
Pomacanthidae/Angelfishes	Pomacanthus	paru/French angelfish	Fishbase:1118
Sphyraenidae/Barracuda	Sphyraena	barracuda/Great barracuda	Fishbase:1235
Grammatidae/Bass	Lipogramma	klayi/Bicolor basslet	Fishbase:12135
Grammatidae/Bass	Lipogramma	trilineatum/Threeline basslet	Fishbase:3356
Serranidae/Bass	Liopropoma	carmabi/Candy basslet	Fishbase:12347
Serranidae/Bass	Serranus	tabacarius/Tobaccofish	Fishbase:3349
Serranidae/Bass	Serranus	tigrinus/Harlequin bass	Fishbase:3350
Serranidae/Bass	Serranus	tortugarum/Chalk bass	Fishbase:3351
Grammatidae/Basslets	Gramma	loreto/Fairy basslet	Fishbase:5281
Grammatidae/Basslets	Gramma	melacara/Blackcap basslet	Fishbase:12131
Priacanthidae/Bigeyes	Heteropriacanthus	cruentatus/Glasseye	Fishbase:1150
Chaetodontidae/Butterflyfishes	Chaetodon	capistratus/Four-eye butterflyfish	Fishbase:3602
Chaetodontidae/Butterflyfishes	Chaetodon	ocellatus/Spotfin butterflyfish	Fishbase:3604
Chaetodontidae/Butterflyfishes	Chaetodon	sedentarius/Reef butterflyfish	Fishbase:3605
Chaetodontidae/Butterflyfishes	Chaetodon	striatus/Banded butterflyfish	Fishbase:3606
Chaetodontidae/Butterflyfishes	Prognathodes	aculeatus/Longsnout butterflyfish	Fishbase:3600
Kyphosidae/Chubs	Kyphosus	sectatrix/Bermuda chub	Fishbase:2498
Congridae/Conger eel	Heteroconger	longissimus/Brown garden eel	Fishbase:9062
Pomacentridae/Damselfishes	Stegastes	adustus/Dusky damselfish	Fishbase:12416
Pomacentridae/Damselfishes	Microspathodon	chrysurus/Yellowtail damselfish	Fishbase:1122
Pomacentridae/Damselfishes	Chromis	cyanea/Blue chromis	Fishbase:3642
Pomacentridae/Damselfishes	Stegastes	diencaeus/Longfin damselfish	Fishbase:3649
Pomacentridae/Damselfishes	Chromis	insolata/Sunshinefish	Fishbase:3644
Pomacentridae/Damselfishes	Stegastes	leucostictus/Beaugregory	Fishbase:3651
Pomacentridae/Damselfishes	Chromis	multilineata/Yellow-edge chromis	Fishbase:
Pomacentridae/Damselfishes	Stegastes	partitus/Bicolor damselfish	Fishbase:3652
Pomacentridae/Damselfishes	Stegastes	planifrons/Threespot damselfish	Fishbase:
Pomacentridae/Damselfishes	Abudefduf	saxatilis/Sergeant major	Fishbase:
Pomacentridae/Damselfishes	Chromis	scotti/Purple chromis	Fishbase:
Pomacentridae/Damselfishes	Stegastes	xanthurus/Cocoa Damselfish	Fishbase:
Sciaenidae/Drumfishes	Equetus	lanceolatus/Jackknife-fish	Fishbase:
Sciaenidae/Drumfishes	Equetus	punctatus/Spotted drumfish	Fishbase:
Sciaenidae/Drumfishes	Pareques	acuminatus/High-hat	Fishbase:
